,ts,resp_pkts,id.resp_h,resp_l2_addr,orig_l2_addr,source,orig_bytes,duration,uid,LINE_ID,local_resp,cat,conn_state,host,local_orig,service,offset,id.orig_h,resp_bytes,orig_ip_bytes,missed_bytes,id.resp_p,resp_ip_bytes,orig_pkts,history,GROUP_ID,batchtime,@timestamp,id.orig_p,proto
879,1580000000000.0,0,ff02,33,a4,/opt/bro/spool/bro/conn.log,1520.0,64.031513,CXwA7fIeRDdkybtlf,1001,False,conn,S0,wxs22cae,False,udp_547,229336438,fe80,0.0,2288,0,547,0,16,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
880,1580000000000.0,0,129.70.132.33,0,7c,/opt/bro/spool/bro/conn.log,144.0,5.998552,C5P6ol1tKK4icFQqK2,1001,False,conn,S0,wxs22cae,True,udp_123,229336888,10.192.25.186,0.0,228,0,123,0,3,D,sie866f9,2020-03-01T01,2020-03-01T01,33467.0,udp
881,1580000000000.0,0,209.58.185.100,0,7c,/opt/bro/spool/bro/conn.log,0.0,0.0,CmFTlsGeRQ6Qeb314,1001,False,conn,S0,wxs22cae,True,udp_123,229337284,10.192.25.186,0.0,76,0,123,0,1,D,sie866f9,2020-03-01T01,2020-03-01T01,51791.0,udp
882,1580000000000.0,0,255.255.255.255,ff,ec,/opt/bro/spool/bro/conn.log,756.0,0.000549,CK1vBm2kIO3IYuZOvg,1001,False,conn,S0,wxs22cae,True,udp_5246,229337737,10.192.24.141,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,55369.0,udp
883,1580000000000.0,0,255.255.255.255,ff,78,/opt/bro/spool/bro/conn.log,756.0,0.0005650000000000001,CUsOdo3bgdbldjaDXk,1001,False,conn,S0,wxs22cae,True,udp_5246,229338190,10.192.24.179,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,55578.0,udp
884,1580000000000.0,0,255.255.255.255,ff,78,/opt/bro/spool/bro/conn.log,756.0,0.000712,CJfQjF3t8cZAkAvWVa,1001,False,conn,S0,wxs22cae,True,udp_5246,229338643,10.192.24.179,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,55578.0,udp
885,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,41.0,0.000857,CDH0S6WKkaaZd77k2,1001,False,conn,SF,wxs22cae,True,dns,229339111,10.192.25.205,210.0,69,0,53,238,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,10733.0,udp
886,1580000000000.0,0,255.255.255.255,ff,4,/opt/bro/spool/bro/conn.log,756.0,0.000553,C5Gd0h4dezZiN96ufe,1001,False,conn,S0,wxs22cae,True,udp_5246,229339564,10.192.24.167,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,49164.0,udp
887,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,35.0,0.471788,C3VptWctt9H4SGOlb,1001,False,conn,SF,wxs22cae,True,dns,229340031,10.192.25.188,82.0,63,0,53,110,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,22097.0,udp
888,1580000000000.0,0,ff02,33,ec,/opt/bro/spool/bro/conn.log,100.0,9e-06,C2yerL1Bn02xElbyC1,1001,False,conn,S0,wxs22cae,False,udp_547,229340488,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
889,1580000000000.0,0,255.255.255.255,ff,0,/opt/bro/spool/bro/conn.log,756.0,0.000528,C5W6j73Y5vNiJiapIg,1001,False,conn,S0,wxs22cae,True,udp_5246,229340941,10.192.24.168,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,61665.0,udp
890,1580000000000.0,0,255.255.255.255,ff,0,/opt/bro/spool/bro/conn.log,756.0,0.000484,CDqZFD1q1BvDTZRs62,1001,False,conn,S0,wxs22cae,True,udp_5246,229341394,10.192.24.176,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,62051.0,udp
891,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,38.0,0.000741,C6zCGo2W4WCK4rE3Ba,1001,False,conn,SF,wxs22cae,True,dns,229341863,10.192.25.192,258.0,66,0,53,286,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,64754.0,udp
892,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,35.0,0.0030510000000000003,ClkFv75nIxtHEzPZk,1001,False,conn,SF,wxs22cae,True,dns,229342328,10.192.25.182,99.0,63,0,53,127,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,7831.0,udp
893,1580000000000.0,0,255.255.255.255,ff,ec,/opt/bro/spool/bro/conn.log,1200.0,3.006908,CVTIVd11P2mkhKbCDh,1001,False,conn,S0,wxs22cae,True,dhcp,229342794,10.192.25.54,0.0,1312,0,67,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,68.0,udp
894,1580000000000.0,0,ff02,33,ec,/opt/bro/spool/bro/conn.log,100.0,1.2e-05,C8MsDg4zoaRO4VJ5Mk,1001,False,conn,S0,wxs22cae,False,udp_547,229343251,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
895,1580000000000.0,0,10.192.24.127,ff,8,/opt/bro/spool/bro/conn.log,3810.0,16.024562,CNigfxDYZYtvlk8y5,1001,True,conn,S0,wxs22cae,True,udp_138,229343699,10.192.24.5,0.0,4370,0,138,0,20,D,sie866f9,2020-03-01T01,2020-03-01T01,138.0,udp
896,1580000000000.0,0,255.255.255.255,ff,ec,/opt/bro/spool/bro/conn.log,756.0,0.000533,CCy9UN2ZRY67nbbWc1,1001,False,conn,S0,wxs22cae,True,udp_5246,229344152,10.192.24.141,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,55369.0,udp
897,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,41.0,0.23356300000000002,CgMhZw2QnTYG2KZ8fi,1001,False,conn,SF,wxs22cae,True,dns,229344621,10.192.25.102,210.0,69,0,53,238,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,11577.0,udp
898,1580000000000.0,0,255.255.255.255,ff,0,/opt/bro/spool/bro/conn.log,756.0,0.000526,CAyO01B8sPU9aBXq1,1001,False,conn,S0,wxs22cae,True,udp_5246,229345073,10.192.24.169,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,64622.0,udp
899,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,41.0,0.07239,CrGQZ22VGiYg6qE88g,1001,False,conn,SF,wxs22cae,True,dns,229345540,10.192.25.91,210.0,69,0,53,238,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,41420.0,udp
900,1580000000000.0,3,10.192.24.115,4,0,/opt/bro/spool/bro/conn.log,62.0,0.003701,CpPdn91arWjZU585w2,1001,True,conn,SF,wxs22cae,True,dns,229346005,10.192.24.16,186.0,90,0,137,270,1,D,sie866f9,2020-03-01T01,2020-03-01T01,137.0,udp
901,1580000000000.0,0,ff02,33,84,/opt/bro/spool/bro/conn.log,100.0,1.2e-05,CarMpB3Go6dsYCiXui,1001,False,conn,S0,wxs22cae,False,udp_547,229346462,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
902,1580000000000.0,0,255.255.255.255,ff,ec,/opt/bro/spool/bro/conn.log,756.0,0.000536,C4zXhVBLOOzx3weai,1001,False,conn,S0,wxs22cae,True,udp_5246,229346914,10.192.24.137,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,60520.0,udp
903,1580000000000.0,0,255.255.255.255,ff,4,/opt/bro/spool/bro/conn.log,756.0,0.0005639999999999999,CGMwgv28cJOxJ8GFp7,1001,False,conn,S0,wxs22cae,True,udp_5246,229347367,10.192.24.142,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,65272.0,udp
904,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,38.0,0.000801,C9Suc41CUg1L84IVob,1001,False,conn,SF,wxs22cae,True,dns,229347835,10.192.25.183,258.0,66,0,53,286,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,6922.0,udp
