ts,resp_pkts,id.resp_h,resp_l2_addr,orig_l2_addr,source,orig_bytes,duration,uid,LINE_ID,local_resp,cat,conn_state,host,local_orig,service,offset,id.orig_h,resp_bytes,orig_ip_bytes,missed_bytes,id.resp_p,resp_ip_bytes,orig_pkts,history,GROUP_ID,batchtime,@timestamp,id.orig_p,proto
1.583E+12,0,255.255.255.255,ff,2c,/opt/bro/spool/bro/conn.log,756,8.50E-04,CU4J7R1P5y36Y7BxAd,1001,FALSE,conn,S0,wxs22cae,TRUE,udp_5246,228938235,10.192.24.164,0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,61232,udp
1.58302E+12,0,ff02,33,70,/opt/bro/spool/bro/conn.log,436,1.20E-05,Clx9kQ1sIR07W6W9re,1001,FALSE,conn,S0,wxs22cae,FALSE,udp_5246,228938694,fe80,0,532,0,5246,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,5264,udp
1.58302E+12,0,ff02,33,84,/opt/bro/spool/bro/conn.log,100,1.20E-05,COalC812AiW73FHkV9,1001,FALSE,conn,S0,wxs22cae,FALSE,udp_547,228939151,fe80,0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546,udp
1.583E+12,0,255.255.255.255,ff,84,/opt/bro/spool/bro/conn.log,756,5.25E-04,CsChNr4mTRcR9IP5Db,1001,FALSE,conn,S0,wxs22cae,TRUE,udp_5246,228939604,10.192.24.172,0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,64570,udp
1.583E+12,0,255.255.255.255,ff,84,/opt/bro/spool/bro/conn.log,756,5.29E-04,ClbASW3eMko1oMgGT8,1001,FALSE,conn,S0,wxs22cae,TRUE,udp_5246,228940057,10.192.24.170,0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,63137,udp
1.58301E+12,0,ff02,33,7c,/opt/bro/spool/bro/conn.log,16,1.70E-05,CCmhWA3Gt3igBK7dEg,1001,FALSE,conn,OTH,wxs22cae,FALSE,icmp_134,228940499,fe80,0,112,0,134,0,2,NaN,sie866f9,2020-03-01T01,2020-03-01T01,133,icmp
1.583E+12,0,ff02,33,2c,/opt/bro/spool/bro/conn.log,100,1.30E-05,C7fJVT2InmQGRy73Wb,1001,FALSE,conn,S0,wxs22cae,FALSE,udp_547,228940955,fe80,0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546,udp
1.58301E+12,0,255.255.255.255,ff,78,/opt/bro/spool/bro/conn.log,436,8.00E-06,CQnZjs4I6mwdpOXFzk,1001,FALSE,conn,S0,wxs22cae,TRUE,udp_5246,228941407,10.192.24.140,0,492,0,5246,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,5256,udp
1.58301E+12,0,ff02,33,f4,/opt/bro/spool/bro/conn.log,100,1.10E-05,C9qj2412TpkqGpy7rg,1001,FALSE,conn,S0,wxs22cae,FALSE,udp_547,228941864,fe80,0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546,udp
1.58302E+12,0,255.255.255.255,ff,84,/opt/bro/spool/bro/conn.log,756,8.63E-04,CbECNg1QDuWqqVr89b,1001,FALSE,conn,S0,wxs22cae,TRUE,udp_5246,228942317,10.192.24.162,0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,64345,udp
