,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,NB,1583045512867,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34547,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,ZLWNYIHMWR.CC,12439017,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
1,NB,1583045512867,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34547,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,ZLWNYIHMWR.CC,12439344,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
2,NB,1583045536154,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34549,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,OMHASVOQ.BIZ,12439670,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
3,NB,1583045536154,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34549,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,OMHASVOQ.BIZ,12439996,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
4,NB,1583045536904,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34549,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,OMHASVOQ.BIZ,12440322,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
5,NB,1583045536904,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34549,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,OMHASVOQ.BIZ,12440648,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
6,NB,1583045537654,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34549,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,OMHASVOQ.BIZ,12440974,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
7,NB,1583045537654,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34549,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,OMHASVOQ.BIZ,12441300,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
8,NB,1583045587401,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34557,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,TZCSMFYY.INFO,12441627,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
9,NB,1583045587401,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34557,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,TZCSMFYY.INFO,12441954,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
10,NB,1583045588150,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34557,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,TZCSMFYY.INFO,12442281,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
11,NB,1583045588150,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34557,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,TZCSMFYY.INFO,12442607,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
12,NB,1583045588900,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34557,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,TZCSMFYY.INFO,12442934,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
13,NB,1583045588900,10.192.24.127,C_INTERNET,32,/opt/bro/spool/bro/dns.log,34557,CjUpv33QaoiQXBdZR6,1001,dns,wxs22cae,1,1,false,false,TZCSMFYY.INFO,12443261,10.192.24.16,137,false,false,sie866f9,2020-03-01T06,true,2020-03-01T06,137,udp,10003,7cf213605d90448f8668baefd46371e9,wxsensor2,,,
